time_taken,latency,attempts,hint_used,correct,question_level,mastery
136.62,6.95,5,1,0,93,0.582
10.73,4.45,2,0,1,12,0.903
56.22,2.04,2,0,0,23,0.648
5.0,0.59,2,0,1,7,0.561
16.74,4.26,1,0,0,11,0.647
63.97,10.05,3,1,1,58,0.396
55.66,5.56,5,1,1,86,0.746
107.77,8.63,6,1,0,90,0.456
40.06,3.85,3,1,1,41,0.684
115.4,7.17,4,1,1,75,0.625
34.35,3.0,3,0,1,28,0.423
92.92,6.08,3,1,0,75,0.582
61.82,1.63,4,0,1,46,0.317
105.85,8.62,4,0,0,86,0.311
84.86,9.25,3,1,1,58,0.497
72.71,3.75,2,0,0,36,0.473
31.21,4.37,3,1,1,11,0.431
71.57,6.82,2,0,0,44,0.651
38.35,6.17,4,0,0,39,0.214
21.9,1.18,2,0,1,7,0.8
58.42,6.51,2,1,1,58,0.671
55.51,5.08,4,1,1,34,0.687
62.51,5.74,7,0,0,90,0.617
33.01,4.09,3,1,1,4,0.565
58.15,5.96,2,0,0,29,0.254
30.08,1.95,1,0,1,9,0.503
103.12,7.46,2,1,0,68,0.248
33.59,1.49,3,0,1,9,0.277
11.97,0.47,2,0,1,18,0.45
81.81,5.52,3,0,0,76,0.698
6.34,2.4,3,1,1,1,0.204
47.43,4.83,6,1,0,46,0.34
107.39,4.79,6,1,0,78,0.132
44.16,6.47,4,1,1,37,0.442
49.61,2.29,3,0,0,45,0.518
62.45,5.04,3,1,0,63,0.322
6.94,4.68,2,0,0,11,0.415
92.62,9.96,6,1,1,74,0.225
72.64,5.2,4,1,0,75,0.583
39.62,3.91,3,0,1,35,0.398
83.48,8.0,4,1,0,96,0.451
51.55,8.42,4,0,0,33,0.183
95.83,11.4,3,1,1,83,0.436
9.56,1.42,1,0,0,1,0.54
62.57,3.98,4,1,1,55,0.715
128.11,10.15,6,0,0,95,0.581
65.6,10.2,4,1,1,83,0.159
52.17,3.9,3,0,1,34,0.555
33.45,4.09,2,0,0,16,0.27
17.45,6.31,4,1,1,20,0.486
40.87,5.08,5,0,1,42,0.354
26.35,1.26,1,0,1,30,0.43
93.46,2.21,4,1,0,93,0.468
117.65,4.58,2,0,0,82,0.322
18.88,2.12,1,0,1,1,0.451
16.84,1.32,2,0,0,12,0.513
32.32,5.46,4,0,1,23,0.339
22.22,1.66,1,0,1,20,0.554
73.63,2.14,5,1,1,58,0.578
77.34,9.96,4,1,1,75,0.696
113.99,8.12,7,1,0,86,0.679
26.25,3.09,3,0,0,4,0.129
17.76,1.4,4,1,1,5,0.167
63.29,3.25,5,1,0,47,0.181
64.35,0.92,5,1,1,48,0.556
69.79,3.53,4,0,0,58,0.481
101.69,8.24,7,0,0,91,0.303
42.66,3.32,2,0,0,18,0.699
102.29,2.4,5,1,0,99,0.627
32.13,1.38,3,1,1,4,0.464
9.21,7.01,1,0,0,6,0.639
88.12,2.76,3,1,1,49,0.407
100.76,12.98,5,1,0,73,0.28
50.9,4.71,2,1,1,29,0.133
87.74,10.21,3,1,0,82,0.299
102.38,6.76,4,0,0,79,0.468
105.77,6.22,4,1,1,80,0.314
14.78,1.28,3,0,1,10,0.633
64.43,10.72,5,1,0,99,0.336
35.49,1.63,3,0,0,17,0.703
105.59,10.51,6,1,0,90,0.349
54.7,5.03,2,0,0,44,0.407
13.58,5.36,1,0,1,17,0.579
9.82,3.74,2,0,1,22,0.877
97.78,6.93,3,1,0,79,0.533
27.89,2.97,3,0,1,19,0.303
46.44,2.16,2,0,1,18,0.337
42.96,6.21,3,1,0,61,0.673
103.11,1.98,6,1,1,93,0.262
30.73,7.38,5,1,1,39,0.342
26.84,5.14,4,0,0,13,0.368
104.2,5.49,4,1,0,82,0.473
141.41,10.0,4,1,0,85,0.319
73.3,3.23,4,1,1,54,0.591
14.45,0.3,2,0,1,2,0.271
39.71,4.76,4,1,1,44,0.168
27.71,0.3,2,0,0,14,0.534
33.37,4.65,4,1,0,33,0.419
14.3,1.75,1,0,1,30,0.933
45.58,2.42,2,0,1,35,0.642
44.0,7.9,5,1,1,32,0.091
34.85,2.15,3,0,0,20,0.527
10.04,1.74,3,0,1,7,0.492
191.54,5.9,4,1,0,88,0.339
43.93,5.47,2,1,1,34,0.812
55.38,5.19,5,1,1,47,0.34
27.28,4.16,3,1,0,43,0.649
140.34,5.27,4,1,1,83,0.512
105.43,5.1,5,1,0,88,0.685
99.06,5.71,3,1,0,68,0.478
6.44,1.52,3,1,1,0,0.328
70.4,6.82,4,1,0,47,0.059
47.44,7.61,2,1,1,64,0.393
37.12,5.29,3,0,1,32,0.512
40.66,3.28,2,0,1,23,0.49
26.39,1.79,1,0,0,18,0.401
101.74,3.89,5,0,1,63,0.559
73.71,4.79,4,0,0,53,0.109
5.0,1.24,1,0,0,2,0.542
5.0,0.75,1,0,1,7,0.646
55.68,4.26,4,1,1,50,0.303
37.3,6.96,3,1,1,24,0.115
72.66,3.72,4,1,1,82,0.459
114.02,6.47,3,0,0,66,0.368
75.94,4.83,4,1,0,81,0.345
74.56,6.02,5,1,0,75,0.613
61.1,5.45,3,0,1,25,0.337
80.83,3.32,3,1,0,41,0.413
79.04,5.46,4,0,1,74,0.45
57.01,3.99,5,0,0,47,0.444
10.72,4.09,2,0,1,0,0.364
29.03,4.75,2,0,1,16,0.303
129.38,5.26,5,1,0,91,0.112
51.25,6.12,4,1,0,59,0.232
35.13,1.41,3,0,1,17,0.655
53.98,4.4,2,1,1,39,0.481
83.11,4.21,4,1,1,92,0.265
70.84,3.01,4,1,0,46,0.377
42.03,8.05,2,0,1,46,0.569
100.78,9.53,4,1,0,97,0.784
82.71,6.93,4,1,0,57,0.451
54.4,7.88,6,1,0,69,0.361
12.27,3.78,1,0,1,9,0.607
63.22,3.34,5,1,0,37,0.476
21.18,3.87,1,0,1,14,0.599
39.65,3.65,3,1,0,33,0.333
41.75,5.22,2,0,1,20,0.646
29.95,2.39,4,1,0,36,0.565
64.7,5.79,1,0,0,56,0.394
61.48,6.33,2,0,0,70,0.88
136.48,12.86,4,1,1,90,0.479
35.86,0.6,6,1,1,45,0.113
46.21,4.64,2,0,0,11,0.205
48.22,2.12,2,0,1,33,0.484
90.86,8.11,5,0,0,92,0.679
22.76,5.92,3,1,1,23,0.25
10.81,3.05,3,0,1,3,0.324
88.53,11.15,5,1,0,93,0.426
58.07,4.14,3,0,1,41,0.488
58.58,4.57,2,0,1,43,0.607
70.99,6.47,4,0,0,56,0.178
107.32,4.76,5,1,1,100,0.458
41.59,5.51,2,0,1,27,0.289
111.46,8.78,3,1,0,70,0.53
50.42,3.0,3,1,1,23,0.687
122.8,9.81,4,1,0,90,0.45
137.2,8.15,4,1,1,92,0.347
38.72,5.43,3,1,1,43,0.711
134.96,8.91,5,1,1,82,0.014
56.26,3.3,2,0,1,48,0.545
120.12,8.71,5,0,0,83,0.304
90.92,6.8,5,1,1,84,0.705
31.99,2.09,1,0,1,25,0.806
18.84,2.83,2,1,1,27,0.617
40.67,2.95,2,0,0,32,0.36
39.84,2.24,6,1,1,20,0.23
78.54,5.56,4,1,1,84,0.673
40.58,6.07,5,1,0,55,0.5
18.01,3.92,2,0,1,6,0.222
86.21,8.29,4,1,1,57,0.357
103.3,6.8,2,0,0,81,0.662
82.92,4.12,4,1,1,70,0.673
66.09,4.12,4,1,0,55,0.466
90.05,5.8,5,1,0,72,0.179
61.37,7.27,4,0,0,79,0.669
66.3,5.11,3,0,1,74,0.566
5.0,1.93,1,0,1,3,0.419
82.66,3.49,5,1,0,58,0.286
26.84,10.63,3,1,1,25,0.576
15.13,4.25,4,0,1,11,0.128
42.02,2.98,4,1,0,50,0.36
46.63,4.63,6,1,0,50,0.221
74.96,6.23,3,0,0,75,0.515
21.4,3.53,2,0,1,6,0.047
149.19,7.05,4,1,0,99,0.366
17.09,4.57,3,0,1,15,0.433
36.37,2.27,3,0,1,24,0.613
59.59,5.85,4,1,1,68,0.287
68.41,7.8,3,1,0,72,0.417
86.34,3.98,4,1,1,62,0.28
57.36,7.03,4,0,1,62,0.389
61.13,4.55,4,0,1,43,0.641
26.33,2.89,1,0,1,17,0.4
58.26,7.05,6,0,0,70,0.614
5.0,3.55,2,0,0,1,0.673
74.6,12.21,6,1,1,78,0.541
71.14,2.67,4,1,0,58,0.251
58.79,7.33,4,1,0,81,0.509
111.26,6.67,7,1,0,88,0.187
122.55,5.36,4,1,0,82,0.291
100.51,7.84,2,0,1,55,0.202
15.01,3.53,2,1,1,32,0.435
102.62,7.0,5,1,0,90,0.518
73.36,3.79,5,1,0,58,0.621
28.11,8.24,3,0,1,27,0.382
133.45,10.09,3,1,1,97,0.742
63.87,5.45,4,1,0,75,0.542
103.52,5.14,5,1,0,73,0.345
18.45,2.53,4,0,1,9,0.416
40.25,2.25,3,0,1,43,0.414
76.43,3.03,3,1,0,46,0.377
78.87,2.39,3,0,1,44,0.588
20.67,2.78,2,1,1,18,0.472
23.86,8.36,4,0,0,17,0.258
60.18,6.72,4,1,1,51,0.158
92.64,5.81,4,1,1,68,0.297
56.09,3.66,4,0,0,71,0.384
59.47,4.29,4,1,1,32,0.352
79.13,7.17,4,0,1,70,0.295
63.71,4.28,3,0,1,47,0.478
39.6,3.44,3,0,1,20,0.525
76.69,3.27,2,0,0,55,0.939
122.1,7.53,3,1,0,68,0.475
16.48,3.04,2,0,1,14,0.31
37.93,3.68,4,1,1,26,0.224
37.19,3.93,2,0,1,24,0.895
29.25,4.73,4,1,0,28,0.357
45.29,4.36,4,0,1,39,0.245
109.64,12.47,6,0,0,94,0.271
47.84,4.97,2,1,0,25,0.137
69.82,8.97,5,1,0,88,0.293
28.59,4.98,3,0,1,19,0.489
133.47,10.95,5,1,0,97,0.567
79.22,6.56,3,1,0,51,0.348
53.83,5.91,3,1,0,61,0.427
50.61,4.8,2,1,1,26,0.059
100.89,4.11,5,0,0,95,0.796
91.59,6.32,4,1,0,71,0.746
43.43,1.13,1,0,1,3,0.47
151.84,7.99,4,1,1,96,0.652
120.45,8.76,6,1,1,89,0.434
40.63,5.84,2,0,1,30,0.208
68.73,8.44,4,1,0,62,0.145
50.78,4.17,3,1,0,46,0.716
135.22,4.92,6,1,0,99,0.647
22.1,5.56,2,0,1,7,0.159
24.78,5.23,4,1,0,30,0.153
53.93,5.08,4,1,1,37,0.366
5.0,8.05,2,1,1,7,0.291
89.1,6.84,4,0,0,93,0.151
106.57,6.67,5,1,0,70,0.057
84.8,7.17,4,1,0,73,0.768
85.85,5.93,3,0,1,67,0.422
26.76,1.15,3,0,1,14,0.681
52.95,4.47,4,0,1,37,0.457
144.51,9.68,4,1,0,98,0.371
25.05,5.47,3,0,1,13,0.289
77.17,5.77,5,1,0,93,0.548
69.38,7.28,3,1,1,52,0.673
57.58,10.05,4,1,0,76,0.495
24.73,3.89,2,0,1,12,0.345
107.04,4.92,4,0,1,67,0.405
14.42,3.53,1,0,1,5,0.675
85.02,3.56,4,1,0,78,0.165
31.71,4.78,2,1,1,35,0.87
73.7,6.01,6,1,0,58,0.213
60.54,6.82,4,0,1,40,0.458
48.52,1.74,4,1,1,23,0.189
84.07,5.27,3,0,0,98,0.836
60.6,6.16,3,0,0,39,0.555
123.1,4.79,4,1,0,96,0.357
56.28,5.67,2,0,1,31,0.638
33.63,2.12,2,0,0,14,0.472
84.34,5.28,4,0,0,43,0.38
24.28,5.08,3,1,1,34,0.327
91.19,8.98,3,1,0,41,0.538
99.6,7.76,4,1,1,88,0.557
107.54,4.68,6,1,0,74,0.142
93.1,6.11,3,1,0,75,0.302
14.38,4.61,3,0,1,8,0.433
9.91,2.82,1,0,0,4,0.445
45.36,7.51,1,0,1,36,0.597
63.0,4.53,4,1,0,91,0.628
66.37,3.8,4,1,1,64,0.307
20.49,3.02,3,1,1,6,0.216
27.14,2.29,2,0,0,7,0.55
74.57,4.01,3,1,0,69,0.81
98.22,5.89,3,1,0,76,0.639
51.5,0.71,4,1,1,33,0.398
93.31,4.19,4,1,1,95,0.43
52.21,5.29,5,0,0,39,0.273
52.49,6.19,4,1,0,74,0.467
74.03,2.64,4,1,1,49,0.571
18.28,8.3,2,0,0,17,0.551
106.78,8.34,5,1,0,98,0.719
20.42,3.71,1,0,1,1,0.506
92.88,4.12,5,1,1,80,0.394
64.62,2.19,4,1,1,81,0.53
57.14,6.0,3,0,0,63,0.269
88.16,8.26,5,1,0,51,0.133
29.65,4.33,3,0,1,35,0.634
5.0,2.31,2,0,1,2,0.509
117.76,8.27,5,1,0,99,0.719
72.37,6.61,3,1,1,70,0.897
88.68,3.91,5,1,1,48,0.249
24.58,2.89,3,0,0,6,0.289
35.11,4.64,2,0,1,36,0.213
55.68,12.06,3,1,0,74,0.61
72.54,8.71,3,1,1,46,0.538
79.75,5.77,4,0,0,55,0.543
63.3,6.4,4,1,1,55,0.34
87.75,3.6,4,1,1,46,0.244
31.22,5.03,1,0,1,22,0.106
21.82,2.29,2,0,1,18,0.367
77.84,5.23,4,1,1,67,0.766
37.36,3.51,1,1,1,25,0.111
48.91,4.99,2,0,1,28,0.563
29.42,2.11,2,0,1,22,0.75
33.9,3.97,4,1,1,56,0.531
48.45,3.43,3,1,1,39,0.581
73.99,4.34,5,0,1,77,0.673
88.82,5.65,5,1,0,71,0.141
85.14,5.05,5,1,1,50,0.098
70.73,8.4,5,1,1,75,0.323
101.74,8.88,6,0,0,85,0.481
92.22,5.45,6,1,1,73,0.089
11.36,0.84,1,0,1,3,0.427
74.16,7.62,4,1,1,61,0.479
82.63,5.56,5,0,0,83,0.185
123.27,7.14,5,1,0,88,0.502
86.2,4.01,5,1,1,54,0.753
81.78,7.92,6,1,1,94,0.716
58.63,4.12,3,0,1,41,0.241
90.81,4.69,3,0,0,49,0.671
71.67,3.82,3,0,0,52,0.51
39.53,4.25,2,0,0,23,0.481
122.04,11.93,5,1,1,82,0.109
54.81,5.36,4,0,1,44,0.251
13.79,5.58,2,0,1,12,0.664
73.73,6.67,5,1,1,55,0.295
83.92,7.08,5,1,1,69,0.284
37.1,2.2,2,0,0,2,0.31
71.4,2.96,3,0,1,54,0.479
48.8,3.21,1,0,1,41,0.799
32.58,4.58,3,1,1,34,0.397
100.37,5.17,4,1,0,73,0.297
39.71,3.86,2,0,0,37,0.478
31.13,5.24,4,0,0,38,0.486
80.29,10.29,5,1,0,97,0.327
105.66,6.0,5,1,0,80,0.394
11.46,1.1,3,0,1,5,0.323
62.8,4.32,4,0,0,59,0.208
39.29,8.25,3,1,1,30,0.252
33.29,6.56,4,1,1,18,0.326
18.34,4.31,2,0,1,17,0.597
73.25,8.44,4,1,0,59,0.165
36.56,3.11,3,1,1,31,0.413
66.32,3.22,2,0,1,37,0.542
33.37,2.94,4,1,1,35,0.313
57.14,3.48,2,0,0,45,0.377
164.11,3.46,5,1,0,98,0.612
55.11,4.12,4,1,0,93,0.731
47.25,4.57,2,0,1,31,0.567
129.3,8.12,3,0,1,66,0.656
36.73,6.05,1,1,1,23,0.516
94.54,12.33,3,1,1,85,0.573
106.83,5.28,3,1,1,80,0.736
94.3,10.32,3,1,0,95,0.455
13.63,4.43,2,0,0,20,0.3
97.1,8.33,4,1,1,76,0.436
48.77,4.68,1,0,0,40,0.811
157.65,12.23,6,1,1,97,0.304
6.7,4.52,3,0,1,6,0.12
40.3,0.92,3,0,1,21,0.468
39.68,4.75,4,0,1,53,0.624
85.52,4.96,3,1,1,56,0.729
12.97,1.57,3,1,1,7,0.475
82.08,7.19,3,1,1,54,0.344
60.67,7.45,4,1,0,86,0.407
68.62,1.94,3,1,0,35,0.201
76.98,4.31,4,0,0,96,0.336
63.02,3.3,5,0,1,50,0.086
33.19,4.06,3,0,1,15,0.161
19.57,7.07,2,1,0,16,0.249
69.33,4.88,3,1,0,57,0.972
76.09,18.35,4,0,0,64,0.614
76.99,5.23,3,1,1,61,0.691
138.49,8.01,5,1,1,100,0.649
45.77,1.99,3,0,1,28,0.322
7.99,2.64,4,0,1,6,0.346
69.18,4.26,3,1,1,43,0.409
75.79,8.43,5,0,1,80,0.666
103.29,5.57,7,1,0,94,0.516
18.34,5.6,2,1,1,26,0.248
78.9,7.04,4,1,1,79,0.464
69.6,9.61,3,1,0,51,0.276
5.0,0.83,1,0,1,6,0.57
22.83,2.49,3,1,1,17,0.637
22.14,2.71,3,1,1,14,0.482
25.86,4.88,3,0,1,17,0.584
24.41,3.67,1,0,1,3,0.749
40.25,5.41,4,0,0,26,0.146
62.74,4.3,3,0,1,32,0.31
42.57,3.74,5,1,0,27,0.299
21.55,0.3,3,0,0,15,0.16
102.75,7.35,5,0,0,85,0.505
49.97,4.71,4,1,0,55,0.362
32.5,3.33,2,1,1,20,0.471
85.87,9.82,5,1,1,83,0.687
55.12,4.98,2,0,0,17,0.088
43.35,3.17,1,0,1,41,0.589
62.31,8.13,4,1,0,84,0.537
5.53,3.98,3,0,1,3,0.339
136.8,11.74,3,1,0,94,0.204
125.77,7.51,6,1,0,91,0.094
115.62,7.1,3,1,0,85,0.3
57.0,4.69,4,1,1,32,0.382
14.99,3.32,2,1,1,13,0.487
121.89,5.96,4,1,0,93,0.594
37.44,2.05,1,1,1,36,0.766
20.14,5.25,3,1,1,21,0.408
131.94,8.61,4,1,0,93,0.628
30.69,4.42,2,1,1,38,0.409
34.87,6.64,3,0,1,22,0.685
16.87,0.85,2,0,0,4,0.618
46.65,6.0,3,1,1,70,0.757
90.61,3.07,3,1,0,60,0.428
39.39,1.24,2,0,0,24,0.57
6.61,1.08,2,0,1,16,0.688
53.46,2.74,4,1,0,71,0.364
54.02,7.43,3,0,0,59,0.355
59.67,9.26,6,0,0,66,0.278
27.0,5.89,3,1,1,40,0.549
75.77,6.3,4,0,1,28,0.446
40.94,7.28,3,1,1,49,0.597
100.8,9.46,4,1,0,92,0.209
15.59,3.73,2,0,1,17,0.82
109.44,6.44,4,1,0,94,0.825
68.29,5.88,4,1,0,69,0.634
46.87,7.37,3,1,0,44,0.17
47.76,5.24,4,0,1,37,0.361
70.49,8.94,4,1,1,61,0.513
105.52,10.71,3,0,1,87,0.383
85.77,11.15,3,1,1,77,0.47
